Country,Clicks,Impressions,CTR,Position
Japan,1,3,33.33%,6
United States,0,73,0%,62.97
Germany,0,17,0%,69.24
India,0,16,0%,39.56
Spain,0,12,0%,74.67
Australia,0,8,0%,78.25
Vietnam,0,5,0%,41.6
Brazil,0,5,0%,46.6
United Kingdom,0,5,0%,74
France,0,4,0%,36.25
Pakistan,0,4,0%,36.75
Malaysia,0,4,0%,46
Russia,0,3,0%,19.33
Italy,0,3,0%,34.67
Indonesia,0,3,0%,39.67
Bangladesh,0,3,0%,47.33
Netherlands,0,3,0%,52
Israel,0,3,0%,64.67
Austria,0,3,0%,70.33
Canada,0,3,0%,76.67
Denmark,0,2,0%,6
Ukraine,0,2,0%,7.5
Egypt,0,2,0%,35.5
Ecuador,0,2,0%,48.5
Poland,0,2,0%,86
South Africa,0,1,0%,6
Thailand,0,1,0%,10
Colombia,0,1,0%,35
Algeria,0,1,0%,37
China,0,1,0%,38
Mexico,0,1,0%,41
Morocco,0,1,0%,49
Costa Rica,0,1,0%,79
Portugal,0,1,0%,79
Finland,0,1,0%,84
Czechia,0,1,0%,85
